"route","stop_order","stop","lat","lon","geocode_status","display_name"
"115","23","نوري خطاب","30.0529812","31.3264637","matched","نوري خطاب, مدينة نصر, القاهرة, مصر"
"115","24","الحي السابع","30.0437936","31.3309093","matched","الحي السابع, محور جيهان السادات, الحى 6, مدينة نصر, القاهرة, 11717, مصر"
"115","25","إنبي","30.0443617","31.3413644","matched","شركة إنبى للبترول, شارع احمد الزمر, مدينة نصر, القاهرة, 11762, مصر"
"115","26","الوفاء و الامل","30.0283339","31.3510335","matched","مقبرة الوفاء و الأمل, مدينة نصر, القاهرة, مصر"
"115","27","جامع السلام","29.8944980","31.2606774","matched","جامع السلام, 1, شارع مسجد السلام, الحوامدية, الجيزة, 12916, مصر"
"115","28","سوق السيارات","30.0468875","31.3649120","matched","سوق السيارات, محور شينزو ابى, مساكن السويسرى أ, مدينة نصر, القاهرة, 11762, مصر"
"115","29","بوابات","","","not_found",""
"115","30","الحي العاشر","30.0481855","31.3650125","matched","برج ماء الحى العاشر, شارع السد العالى, مدينة نصر, القاهرة, 11528, مصر"
"115","31","التبة","30.0608498","31.3779325","matched","التبة, محور شينزو ابى, شرق المنطقة السادسة, مدينة نصر, القاهرة, 18711, مصر"
"89","1","مساكن أسكو","30.1502774","31.2772803","matched","مساكن اسكو, بهتيم, شبرا الخيمة, القليوبية, مصر"
"89","2","بهتيم","30.1389642","31.2655197","matched","بهتيم, شبرا الخيمة, القليوبية, 13752, مصر"
"89","3","الشارع الجديد","30.1399447","31.3526092","matched","الشارع الجديد, القاهرة, 11793, مصر"
"89","4","مسطرد","30.1382602","31.2962809","matched","مسطرد, شبرا الخيمة, القليوبية, 13753, مصر"
"89","5","سواح","30.1727615","31.3418149","matched","شارع محمود سواح, شبرا الخيمة, القليوبية, 13697, مصر"
"89","6","الزاوية الحمراء","30.0924309","31.2733512","matched","شارع شركات الزاوية الحمراء, مساكن الزاويه الحمراء, الأميرية, القاهرة, 11659, مصر"
"89","7","الوالي","30.1021060","31.3278609","matched","شارع الوالي, قسم مصر الجديدة, مصر الجديدة, القاهرة, 11757, مصر"
"89","8","غمرة","30.0689640","31.2646738","matched","الغمرة, محور روكسى رمسيس, مهمشه, الدمرداش, القاهرة, 11657, مصر"
"89","9","باب الشعرية","30.0537108","31.2558750","matched","باب الشعرية, شارع الجيش, الشيخ ندا درب مصطفى, باب الشعرية, القاهرة, 11668, مصر"
"89","10","موسكى","30.0503528","31.2536950","matched","الموسكى, القاهرة, 11668, مصر"
"89","11","باب الخلق","30.0438945","31.2526973","matched","ميدان باب الخلق, تحت الربع, عابدين, القاهرة, 11639, مصر"
